Track,Artist,Album,Year,Duration,Time_Signature,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Popularity
How's Your Love Life Baby - Single Version,Jackie Moore,I'm On My Way (Expanded Edition), 1979,234706,4,0.685,0.779,7,-11.035,1,0.084,0.0234,0.000181,0.215,0.741,115.833,1
Let's go Somewhere and Make Love,Jackie Moore,I'm On My Way (Expanded Edition), 1981,179400,4,0.713,0.749,7,-11.158,1,0.0735,0.026,0,0.0821,0.751,103.256,4
Personally,Jackie Moore,Lost Soul, 1982,221040,4,0.812,0.399,11,-13.519,1,0.0512,0.294,0.000418,0.0369,0.91,104.872,5
This Time Baby,Jackie Moore,I'm On My Way (Expanded Edition), 1979,433066,4,0.845,0.725,10,-11.09,0,0.0672,0.124,0.00183,0.0556,0.891,123.816,23
This Time Baby - Single Version,Jackie Moore,I'm On My Way (Expanded Edition), 1979,239266,4,0.823,0.777,10,-10.912,0,0.083,0.161,0.0000108,0.336,0.922,124.545,26
Funky Drummer - Pt. 1 & 2,James Brown,In The Jungle Groove, 1970,553533,4,0.667,0.519,0,-14.37,1,0.0675,0.329,0.421,0.0478,0.604,99.526,37
Get Up (I Feel Like Being A) Sex Machine,James Brown,Star Time, 1970,316333,4,0.838,0.616,10,-8.351,0,0.0711,0.18,0.00000717,0.193,0.848,107.695,47
Get Up Offa That Thing,James Brown,The 50th Anniversary Collection, 1976,239733,4,0.864,0.813,2,-6.909,1,0.362,0.217,0,0.874,0.72,117.995,61
Give It Up Or Turnit A Loose - Remix,James Brown,In The Jungle Groove, 1969,370200,4,0.698,0.722,11,-14.111,0,0.0508,0.0386,0.548,0.0919,0.776,114.847,41
Hot Pants (She Got To Use What She Got To Get What She Wants),James Brown,Star Time, 1971,187306,4,0.669,0.675,8,-8.958,1,0.386,0.256,0,0.0762,0.787,196.088,29
Papa Don't Take No Mess,James Brown,Star Time, 1974,264373,4,0.828,0.68,0,-10.232,1,0.0479,0.209,0.000264,0.225,0.708,96.649,37
Soul Power,James Brown,Funked!: Volume 1 1970 - 1973, 1971,181226,4,0.905,0.506,7,-13.663,1,0.0589,0.801,0.322,0.251,0.963,104.74,9
Super Bad - Pts.1 & 2,James Brown,Number 1's, 1970,300613,4,0.884,0.869,11,-6.574,0,0.0758,0.607,0.00168,0.0741,0.94,125.044,42
Talking Loud And Saying Nothing - Part 1 & 2,James Brown,20th Century Masters: The Millennium Collection: Best Of James Brown (Vol. 2 - The ‘70s), 1972,436760,4,0.833,0.609,8,-7.161,1,0.044,0.692,0.000164,0.133,0.801,101.701,11
The Payback,James Brown,The Payback, 1973,459893,4,0.868,0.644,6,-10.987,1,0.194,0.159,0.00018,0.901,0.785,97.933,55
AIN't THAT ENOUGH FOR YOU,John Davis & The Monster Orchestra,Ain't That Enough For You, 1977,539725,4,0.761,0.922,8,-4.806,0,0.0369,0.0173,0.177,0.0331,0.971,130.853,23
"BOURGIE, BOURGIE",John Davis & The Monster Orchestra,The Monster Strikes Again, 1976,372386,4,0.801,0.69,0,-9.653,1,0.0697,0.497,0.155,0.135,0.95,120.213,20
DISCO FEVER,John Davis & The Monster Orchestra,Ain't That Enough For You, 1978,355960,4,0.735,0.683,10,-11.27,1,0.038,0.116,0.00302,0.107,0.939,125.651,3
"Love Magic - 12"" Club Mix",John Davis & The Monster Orchestra,"Love Magic (12"" Club Mix)", 1978,461546,4,0.824,0.596,6,-8.931,0,0.0478,0.00244,0.887,0.0309,0.676,121.023,18
Night & Day - Original Mix,John Davis & The Monster Orchestra,Night & Day LP, 1978,307936,4,0.579,0.82,7,-12.015,0,0.0418,0.0323,0.0178,0.0854,0.898,127.815,2
The Magic Is You (Medley) - Original Mix,John Davis & The Monster Orchestra,The Magic Is You (Medley), 1978,816602,4,0.534,0.876,10,-8.369,0,0.182,0.0141,0.0000248,0.0387,0.709,132.813,4
UP JUMPED THE DEVIL,John Davis & The Monster Orchestra,Up Jumped The Devil, 1977,324626,4,0.746,0.925,10,-10.836,1,0.0633,0.0012,0.00116,0.0453,0.523,124.156,9
"(Shake, Shake, Shake) Shake Your Booty",KC & The Sunshine Band,"KC & the Sunshine Band, Pt. 3... and More", 1976,186906,4,0.649,0.825,10,-12.243,0,0.0335,0.00606,0.154,0.104,0.961,112.124,52
(Can I Speak to You Before You Go To) Hollywood,LaBelle,Pressure Cookin', 1976,397920,4,0.464,0.237,0,-16.674,1,0.0887,0.819,0.0768,0.161,0.382,126.451,3
Lady Marmalade,LaBelle,Nightbirds, 1974,237120,4,0.631,0.563,2,-12.135,0,0.0552,0.398,0,0.0733,0.947,117.963,56
Mr. Music Man,LaBelle,Pressure Cookin', 1975,249840,4,0.545,0.839,7,-9.837,1,0.0416,0.416,0.446,0.311,0.829,91.478,1
What Can I Do For You?,LaBelle,Nightbirds, 1978,242760,4,0.683,0.652,4,-11.093,0,0.0484,0.456,0,0.0908,0.883,114.375,18
Angel Eyes,Lime,Lime 3, 1983,468866,4,0.7,0.721,5,-13.696,0,0.055,0.00914,0.000839,0.0599,0.786,121.785,30
"Babe, We're Gonna Love Tonight - Jacques Greene Remix",Lime,"Babe, We’re Gonna Love Tonight (Jacques Greene Remix)",1982,221373,4,0.654,0.64,9,-10.26,0,0.0336,0.104,0.94,0.105,0.11,127.997,15
Guilty,Lime,Lime 3, 1981,457533,4,0.686,0.729,3,-12.444,1,0.0362,0.00325,0.0000181,0.0868,0.775,124.691,37
The Party's Over,Lime,Sensual Sensation, 1981,393813,4,0.644,0.73,0,-9.208,0,0.0321,0.049,0.08,0.0871,0.663,107.964,7
Your Love - Radio Edit,Lime,Your Love,1981,242733,4,0.771,0.752,0,-8.49,0,0.0378,0.00213,0.713,0.0414,0.752,138.161,56
If My Friends Could See Me Now - Remastered,Linda Clifford,If My Friends Could See Me Now,1978,474946,4,0.652,0.855,2,-8.714,0,0.0377,0.0467,0.000754,0.0404,0.71,128.639,18
Never Gonna Stop - Remastered,Linda Clifford,Here's My Love,1978,282863,4,0.747,0.501,5,-9.18,1,0.244,0.268,0,0.122,0.703,90.582,24
Red Light,Linda Clifford,Fame (Original Motion Picture Soundtrack), 1978,370866,4,0.889,0.645,8,-10.856,1,0.0464,0.03,0.102,0.0483,0.933,119.79,27
Runaway Love,Linda Clifford,Greatest Hits, 1978,588800,4,0.659,0.871,5,-9.2,0,0.046,0.219,0.00935,0.145,0.85,106.413,23
Shoot Your Best Shot,Linda Clifford,Greatest Hits, 1978,406533,4,0.801,0.832,9,-8.788,1,0.114,0.0397,0.035,0.0533,0.762,129.339,3
All Night Dancing,Lipps Inc.,Mouth To Mouth, 1979,500253,4,0.85,0.404,0,-16.748,1,0.0675,0.000272,0.0302,0.292,0.874,123.927,25
Designer Music,Lipps Inc.,Funkyworld: The Best Of Lipps Inc, 1980,342826,4,0.81,0.559,2,-11.737,1,0.0777,0.0142,0.026,0.115,0.839,152.076,53
Funkytown,Lipps Inc.,Mouth To Mouth, 1980,470346,4,0.894,0.423,0,-13.968,1,0.0821,0.00239,0.446,0.0796,0.462,122.144,59
How Long,Lipps Inc.,Funkyworld: The Best Of Lipps Inc, 1981,337000,4,0.887,0.453,9,-10.99,0,0.0922,0.0357,0.291,0.0573,0.966,119.923,37
Can't Let You Go - Louie Vega & Josh Milan Truth Dub 1,Loleatta Holloway,Can't Let You Go,1980,702225,4,0.819,0.728,1,-8.663,1,0.0465,0.00133,0.145,0.109,0.317,126.984,22
Casanova,Loleatta Holloway,The Hotlanta Soul of Loleatta Holloway, 1980,224666,4,0.52,0.817,1,-6.49,0,0.0976,0.422,0.0000076,0.696,0.92,148.889,14
Crash Goes Love (Blaster Mix),Loleatta Holloway,Crash Goes Love,1980,441765,4,0.665,0.976,2,-6.016,1,0.0462,0.00222,0.00552,0.0819,0.796,117.525,13
Cry to Me,Loleatta Holloway,Cry to Me, 1980,348600,3,0.475,0.455,8,-12.165,1,0.0339,0.149,0.0000141,0.233,0.462,101.681,32
Dreamin',Loleatta Holloway,Loleatta, 1980,381733,4,0.62,0.904,1,-7.922,0,0.148,0.127,0,0.0923,0.702,117.846,22
Hit and Run,Loleatta Holloway,Loleatta, 1980,361466,4,0.592,0.78,9,-7.244,1,0.0704,0.0333,0.000204,0.126,0.682,109.196,24
Love Sensation,Loleatta Holloway,Love Sensation, 1980,366200,4,0.703,0.756,5,-9.337,1,0.0746,0.00946,0.0185,0.17,0.736,117.126,44
"Part Time Lover, Full Time Fool",Loleatta Holloway,The Hotlanta Soul of Loleatta Holloway, 1980,246600,3,0.44,0.576,10,-6.593,1,0.0486,0.724,0,0.11,0.796,142.494,4
I Belong To You,Love Unlimited,In Heat, 1975,307560,3,0.598,0.527,5,-6.929,1,0.031,0.358,0.00109,0.564,0.532,95.374,28
Walkin' In The Rain With The One I Love,Love Unlimited,Best Of Love Unlimited, 1972,287933,4,0.424,0.594,10,-9.652,1,0.0551,0.341,0.000282,0.413,0.59,137.535,36
Fever / Make Me Like It,Madleen Kane,Rough Diamond, 1979,722333,4,0.749,0.554,5,-15.113,0,0.0442,0.0127,0.019,0.0565,0.897,131.142,5
Forbidden Love / Fire in Your Heart,Madleen Kane,Cheri, 1979,308466,4,0.682,0.736,0,-15.252,0,0.0503,0.0292,0.432,0.537,0.614,127.623,17
Rough Diamond,Madleen Kane,Rough Diamond, 1980,380053,4,0.74,0.662,11,-14.233,0,0.0505,0.0324,0.092,0.0603,0.93,128.001,22
Secret Love Affair,Madleen Kane,Cheri, 1979,464173,4,0.7,0.79,0,-14.32,0,0.0579,0.0584,0.0965,0.0949,0.664,127.414,5
Touch My Heart,Madleen Kane,Rough Diamond, 1979,335226,4,0.862,0.51,5,-16.878,0,0.0568,0.0684,0.716,0.0331,0.961,111.657,13
You and I,Madleen Kane,Cheri, 1980,256293,4,0.47,0.326,0,-16.861,0,0.0696,0.252,0.00115,0.103,0.577,137.397,16
Do You Really Want My Love,Melba Moore,Soul Exposed, 1979,273733,4,0.779,0.435,1,-15.48,0,0.0541,0.0541,0.0752,0.0325,0.849,104.821,12
King Of My Heart,Melba Moore,Read My Lips (Expanded Version), 1980,246773,4,0.865,0.666,5,-8.512,1,0.0301,0.217,0,0.122,0.974,115.789,32
Love Of A Lifetime,Melba Moore,Read My Lips (Expanded Version), 1980,342573,4,0.752,0.795,3,-6.814,0,0.0474,0.129,0.00018,0.0348,0.816,102.943,3
Love's Comin at Ya,Melba Moore,The Other Side of the Rainbow, 1979,342693,4,0.914,0.49,1,-9.404,0,0.0692,0.0437,0.000541,0.387,0.705,114.387,18
Mind Up Tonight,Melba Moore,A Little Bit Moore: The Magic Of Melba Moore, 1980,325906,3,0.879,0.604,1,-7.316,1,0.0406,0.245,0.00693,0.215,0.961,115.998,39
"Pick Me Up, I'll Dance - 12"" Mix",Melba Moore,Melba, 1980,419200,4,0.701,0.696,5,-9.313,1,0.0471,0.0165,0.0000327,0.24,0.899,127.719,28
Standing Right Here,Melba Moore,A Portrait of Melba (Bonus Track Version), 1981,417600,4,0.845,0.594,11,-12.103,0,0.0533,0.106,0.00612,0.088,0.966,107.374,27
This Is It,Melba Moore,This Is It (Expanded Edition), 1980,211853,4,0.731,0.804,2,-6.62,1,0.106,0.22,0,0.15,0.761,118.933,37
Where Did You Ever Go,Melba Moore,Melba, 1980,244866,4,0.428,0.444,10,-8.343,1,0.0292,0.802,0.0518,0.269,0.112,131.772,1
You Stepped Into My Life,Melba Moore,Disco Super Hits, 1978,304733,4,0.724,0.725,2,-11.93,0,0.0395,0.0226,0.0336,0.0445,0.909,106.156,23
Back Stabbers,MFSB,MFSB, 1972,390600,4,0.692,0.897,7,-7.343,0,0.0297,0.101,0.665,0.112,0.86,117.4,11
Family Affair (feat. Leon Huff),MFSB,MFSB, 1973,261533,4,0.749,0.723,2,-8.447,0,0.037,0.192,0.897,0.0734,0.935,120.908,21
Let's Go Disco - Single Version,MFSB,End of Phase I - A Collection of Greatest Hits, 1977,252906,4,0.84,0.813,7,-7.873,0,0.0482,0.0797,0.861,0.0548,0.758,127.366,6
Love Is the Message,MFSB,The Essential MFSB, 1973,396533,4,0.643,0.683,0,-8.998,1,0.0861,0.0434,0.879,0.186,0.636,113.865,20
My Mood,MFSB,The Essential MFSB, 1975,250773,4,0.692,0.471,0,-11.535,0,0.0285,0.59,0.906,0.101,0.641,107.997,25
My One and Only Love,MFSB,Love Is The Message, 1975,274626,4,0.537,0.369,9,-13.376,0,0.0318,0.833,0.24,0.253,0.406,117.49,17
Old San Juan,MFSB,Mysteries of the World, 1975,269133,4,0.667,0.715,0,-10.303,0,0.068,0.0728,0.279,0.126,0.318,99.491,27
Poinciana,MFSB,The Best Of MFSB: Love Is The Message, 1975,352360,4,0.523,0.625,1,-12.423,1,0.039,0.0406,0.902,0.305,0.612,89.226,14
Sexy,MFSB,Universal Love (Expanded Edition), 1976,216266,4,0.662,0.643,7,-11.374,1,0.0668,0.059,0.264,0.0411,0.773,115.358,26
T.S.O.P. (The Sound of Philadelphia) (feat. The Three Degrees),MFSB,Love Is The Message, 1974,222346,4,0.707,0.854,7,-8.231,0,0.0286,0.149,0.117,0.0987,0.96,114.022,46
Ain't No Sunshine,Michael Jackson,Got To Be There,1972,253466,4,0.529,0.616,5,-9.903,0,0.0511,0.0281,0.0000215,0.0796,0.736,151.991,35
Burn This Disco Out,Michael Jackson,Off the Wall, 1979,221026,4,0.847,0.709,1,-11.343,1,0.0335,0.213,0.000252,0.0473,0.961,116.458,48
Don't Stop 'Til You Get Enough,Michael Jackson,Off the Wall, 1979,365466,4,0.878,0.821,11,-9.875,1,0.089,0.126,0.0461,0.183,0.947,118.881,74
Get on the Floor,Michael Jackson,Off the Wall, 1979,277640,4,0.809,0.892,0,-11.443,1,0.0437,0.0629,0.344,0.0334,0.89,124.435,52
I Can't Help It,Michael Jackson,Off the Wall, 1979,269333,4,0.684,0.394,5,-19.075,0,0.0908,0.704,0.00000576,0.178,0.429,100.068,58
Off the Wall,Michael Jackson,Off the Wall, 1979,246000,4,0.827,0.595,3,-13.909,0,0.0565,0.182,0,0.0785,0.921,118.741,66
Rock with You - Single Version,Michael Jackson,Off the Wall, 1979,220626,4,0.808,0.535,1,-12.521,1,0.0353,0.179,0.0000991,0.158,0.848,114.031,79
Shake Your Body (Down to the Ground) - Single Edit,Michael Jackson,The Essential Michael Jackson, 1978,224893,4,0.774,0.803,0,-4.959,1,0.0877,0.0307,0,0.347,0.813,117.779,47
She's Out of My Life - Single Version,Michael Jackson,Off the Wall, 1979,218266,4,0.293,0.0348,4,-23.92,1,0.0414,0.962,0.000212,0.105,0.101,130.959,56
Wink,Neal McCoy,No Doubt About It, 1994,162466,4,0.708,0.852,4,-6.177,1,0.0302,0.0761,0,0.172,0.93,117.644,58
Each Day I Fall in Love with You Again,Odyssey,Going Back to My Roots - Best of Odyssey (Rerecorded), 1980,232666,4,0.51,0.354,2,-13.898,0,0.0316,0.865,0.00000352,0.146,0.225,130.042,0
Inside Out,Odyssey,Happy Together (Expanded Edition), 1980,314573,4,0.74,0.691,7,-10.04,1,0.069,0.406,0.0000251,0.126,0.866,112.021,34
Native New Yorker,Odyssey,Odyssey (Expanded Edition), 1977,259733,4,0.539,0.921,1,-6.662,1,0.138,0.0385,0.000102,0.655,0.69,109.787,45
Use It Up and Wear It Out,Odyssey,"All Time American Hits and More, Vol. 3", 1980,242091,4,0.89,0.43,1,-16.66,1,0.0575,0.389,0.000373,0.343,0.661,126.004,0
Ecstasy,Ohio Players,Ecstasy, 1973,149226,4,0.658,0.633,7,-9.374,1,0.0536,0.2,0.00261,0.11,0.936,101.057,40
Fire,Ohio Players,Fire, 1974,276333,4,0.639,0.75,5,-11.794,1,0.0557,0.324,0.0335,0.282,0.851,107.174,51
Funky Worm,Ohio Players,Pleasure, 1973,161023,4,0.633,0.644,2,-9.923,0,0.0914,0.0803,0.000246,0.0356,0.949,86.115,42
I Want To Be Free,Ohio Players,Fire, 1975,414360,4,0.501,0.485,5,-12.826,1,0.121,0.286,0.000273,0.0649,0.65,142.274,38
Jive Turkey,Ohio Players,Skin Tight, 1974,429466,4,0.782,0.563,0,-11.933,1,0.0474,0.0324,0.0273,0.0792,0.88,138.795,25
Love Rollercoaster,Ohio Players,Honey, 1975,290160,4,0.613,0.82,0,-10.175,1,0.0737,0.181,0.00000145,0.049,0.465,115.125,57
Runnin From The Devil,Ohio Players,Fire, 1977,289133,4,0.755,0.757,11,-11.382,0,0.0658,0.137,0.0000475,0.317,0.759,110.227,19
Skin Tight,Ohio Players,Skin Tight, 1974,474266,4,0.828,0.611,7,-12.749,1,0.0393,0.0399,0.0116,0.104,0.835,110.169,36
Sweet Sticky Thing,Ohio Players,Honey, 1975,372733,4,0.532,0.582,1,-12.297,0,0.0631,0.201,0.0139,0.087,0.669,90.82,40
Back to Boogie,Patrick Hernandez,Patrick Hernandez The Album, 1979,216217,4,0.797,0.888,0,-11.222,1,0.0303,0.0245,0.0202,0.04,0.962,128.583,26
Born to Be Alive - The Original,Patrick Hernandez,Born to Be Alive (The Original), 1978,188133,4,0.704,0.868,2,-5.808,1,0.0315,0.0834,0,0.206,0.808,131.468,73
Disco Queen,Patrick Hernandez,Patrick Hernandez The Album, 1979,205914,4,0.762,0.9,4,-9.966,1,0.0322,0.0243,0,0.0715,0.93,134.083,19
Down on easy street,Patrick Hernandez,Patrick Hernandez The Album, 1979,182981,4,0.59,0.852,0,-7.416,1,0.0648,0.319,0.00000716,0.175,0.463,134.779,8
I Give You a Rendez-Vous,Patrick Hernandez,I Give You a Rendez-Vous (Original Mix 79), 1979,211853,4,0.783,0.532,2,-9.995,1,0.0513,0.265,0.00019,0.0958,0.607,129.175,28
Losing sleep over you,Patrick Hernandez,Patrick Hernandez The Album, 1979,221456,4,0.559,0.513,2,-9.067,0,0.0309,0.671,0.00000758,0.608,0.385,109.847,8
Slow Down,Patrick Hernandez,Patrick Hernandez The Album, 1979,147085,4,0.422,0.826,2,-7.409,1,0.0688,0.222,0.00000368,0.106,0.906,181.973,6
"Baby Gets High - 12""",Peter Brown,Back to Front (Expanded Edition), 1979,322306,4,0.833,0.551,8,-14.557,1,0.0397,0.0019,0.0323,0.273,0.833,121.796,8
Can't Be Love (Do It to Me Anyway),Peter Brown,US Dancefloor Hits from the 80's, 1979,525266,4,0.871,0.564,0,-13.688,0,0.0464,0.00681,0.00123,0.132,0.795,138.483,2
Dance with Me,Peter Brown,A Fantasy Love Affair, 1979,319226,4,0.912,0.42,10,-14.798,1,0.0507,0.117,0.000717,0.0424,0.9,108.53,37
Do Ya Wanna Get Funky with Me,Peter Brown,"Classic Disco 12"" Mixes", 1978,474742,4,0.829,0.498,1,-17.508,1,0.0603,0.0437,0.0154,0.0501,0.892,103.456,6
Love Is Just the Game,Peter Brown,Snap (Expanded Edition), 1981,252293,4,0.707,0.764,10,-11.399,0,0.0427,0.0619,0.000224,0.299,0.915,121.081,35
They Only Come Out at Night,Peter Brown,Snap (Expanded Edition), 1981,307853,4,0.744,0.549,10,-13.134,0,0.0348,0.00618,0.0983,0.0438,0.953,121.04,16
You Should Do It,Peter Brown,A Fantasy Love Affair, 1979,229813,4,0.848,0.37,0,-15.463,0,0.05,0.0109,0.0006,0.0639,0.771,109.585,9
Bustin' Out (On Funk),Rick James,The Definitive Collection, 1979,232626,4,0.726,0.698,9,-9.761,1,0.109,0.181,0.00000104,0.227,0.882,102.955,40
Cold Blooded,Rick James,Cold Blooded (Expanded Edition), 1983,359280,4,0.939,0.487,10,-7.641,0,0.153,0.0172,0.0124,0.05,0.646,117.637,44
Ghetto Life,Rick James,Street Songs (Deluxe Edition), 1981,261000,4,0.758,0.716,0,-8.609,1,0.0875,0.354,0,0.126,0.896,116.648,48
Give It To Me Baby,Rick James,Street Songs (Deluxe Edition), 1981,248133,4,0.706,0.727,11,-8.714,1,0.0456,0.114,0.000077,0.174,0.965,119.55,64
Love Gun,Rick James,Fire It Up, 1981,346453,4,0.761,0.938,9,-3.856,1,0.0635,0.00652,0.1,0.1,0.748,121.714,32
Mary Jane,Rick James,Come Get It! (Expanded Edition), 1978,297346,4,0.537,0.82,11,-7.011,0,0.127,0.256,0.00000193,0.432,0.881,94.429,59
Super Freak,Rick James,Street Songs (Deluxe Edition), 1981,205466,4,0.838,0.794,9,-8.245,0,0.0531,0.22,0,0.0575,0.962,132.446,70
This Magic Moment / Dance with Me - Remix,Rick James,This Magic Moment/Dance With Me,1981,429066,4,0.797,0.632,11,-9.237,1,0.0624,0.0562,0.0417,0.105,0.964,121.68,4
You And I,Rick James,Come Get It! (Expanded Edition), 1981,486026,4,0.782,0.874,8,-6.651,0,0.0759,0.297,0.00327,0.572,0.826,119.378,41
Car Wash - Single Version,Rose Royce,R&B Soul, 1976,198520,4,0.764,0.625,9,-8.185,0,0.184,0.227,0.0000459,0.0335,0.828,114.928,45
Do Your Dance,Rose Royce,In Full Bloom, 1978,556360,4,0.712,0.735,10,-11.74,0,0.0909,0.0738,0.00386,0.0284,0.56,107.776,24
I Wanna Get Next To You,Rose Royce,Car Wash, 1976,238200,4,0.62,0.179,0,-19.981,1,0.0314,0.835,0.03,0.0928,0.675,130.864,52
I'm Going Down,Rose Royce,Car Wash, 1976,216773,3,0.623,0.103,0,-15.008,1,0.0393,0.712,0.000177,0.109,0.319,92.257,44
Is It Love You’re After,Rose Royce,70s HITS - 100 Greatest Songs of the 1970s, 1978,305533,4,0.548,0.723,2,-10.305,1,0.0412,0.0348,0.0000486,0.0993,0.405,116.77,13
Love Don't Live Here Anymore,Rose Royce,Rose Royce III: Strikes Again!, 1978,238306,4,0.529,0.262,11,-19.546,0,0.0698,0.834,0.00078,0.107,0.648,83.046,52
Ooh Boy,Rose Royce,In Full Bloom, 1978,256506,4,0.53,0.415,0,-11.866,1,0.0883,0.646,0,0.0893,0.526,97.861,38
Pop Your Fingers,Rose Royce,The Very Best Of Rose Royce, 1979,272360,4,0.862,0.764,8,-9.062,0,0.107,0.0445,0.00117,0.0268,0.668,121.856,10
Wishing on a Star,Rose Royce,In Full Bloom, 1977,291760,4,0.335,0.422,5,-15.172,0,0.0519,0.716,0.0000403,0.0455,0.553,97.66,57
You're My World Girl,Rose Royce,Soul Lounge, 1977,252266,4,0.575,0.292,0,-12.536,1,0.0263,0.733,0,0.101,0.307,94.525,0
Ain't Nobody,Rufus,Stompin' At The Savoy, 1983,285253,4,0.825,0.811,10,-9.226,0,0.0524,0.258,0.000276,0.132,0.789,104.28,67
Everlasting Love,Rufus,Ask Rufus, 1978,288373,4,0.618,0.368,8,-16.462,0,0.0363,0.769,0.0113,0.122,0.769,164.871,40
Hollywood,Rufus,Ask Rufus, 1977,249400,4,0.654,0.401,4,-16.35,1,0.0563,0.841,0.155,0.0996,0.685,92.744,33
Once You Get Started,Rufus,Rufusized, 1974,268200,4,0.621,0.769,5,-8.696,0,0.0547,0.0845,0.000317,0.0369,0.856,121.17,29
Sweet Thing,Rufus,Rufus Featuring Chaka Khan, 1975,200146,4,0.71,0.387,9,-12.82,1,0.0484,0.725,0.00617,0.113,0.806,80.557,57
Do You Love What You Feel,Rufus & Chaka Khan,Masterjam, 1979,269306,4,0.808,0.773,11,-11.4,1,0.0365,0.022,0.0436,0.654,0.893,119.944,47
Stay,Rufus & Chaka Khan,Street Player, 1978,339880,4,0.68,0.504,4,-11.15,0,0.0359,0.446,0.00273,0.0778,0.785,95.241,37
Tell Me Something Good,Rufus & Chaka Khan,Rags To Rufus, 1974,277066,4,0.666,0.577,1,-7.916,1,0.22,0.659,0,0.569,0.783,74.29,51
A Night to Remember,Shalamar,The 12 Inch Collection, 1982,299360,4,0.863,0.738,10,-6.314,0,0.0428,0.0658,0.000234,0.0969,0.947,108.851,54
Dancing in the Sheets,Shalamar,Heart Break, 1983,245360,4,0.842,0.567,11,-9.691,0,0.0664,0.0236,0.0444,0.0439,0.886,122.839,35
Dead Giveaway,Shalamar,The 12 Inch Collection, 1982,302013,4,0.608,0.933,0,-6.362,1,0.0374,0.00916,0.000317,0.27,0.943,149.264,18
I Can Make You Feel Good,Shalamar,Friends, 1982,261106,4,0.711,0.863,7,-6.408,0,0.033,0.0184,0,0.0735,0.96,112.959,23
I Don't Wanna Be the Last to Know,Shalamar,Friends, 1982,239986,4,0.64,0.667,5,-5.965,1,0.0321,0.259,0,0.0318,0.858,153.596,35
I Owe You One,Shalamar,Big Fun, 1981,309266,4,0.769,0.755,5,-12.088,1,0.0418,0.072,0.000143,0.0463,0.904,111.023,20
Make That Move,Shalamar,The 12 Inch Collection, 1980,373160,4,0.788,0.685,7,-7.806,1,0.103,0.0354,0.000891,0.0636,0.753,116.947,39
Right in the Socket,Shalamar,Big Fun, 1983,405266,4,0.805,0.697,1,-14.647,0,0.0764,0.106,0.0055,0.103,0.689,122.068,14
The Second Time Around,Shalamar,Big Fun, 1980,223293,4,0.801,0.388,1,-12.135,1,0.0505,0.0123,0.0000716,0.0924,0.577,112.367,52
There It Is - Extended Mix,Shalamar,Friends, 1980,375066,4,0.726,0.815,11,-7.583,0,0.0692,0.0464,0.0000125,0.0588,0.94,103.023,24
Beat the Street,Sharon Redd,Beat the Street: The Very Best of Sharon Redd, 1982,375546,4,0.836,0.711,7,-9.323,1,0.0884,0.0302,0.535,0.0837,0.482,117.909,27
Can You Handle It,Sharon Redd,Sharon Redd, 1981,386173,4,0.733,0.833,10,-11.118,0,0.0456,0.357,0.0179,0.0517,0.962,108.782,39
In the Name of Love,Sharon Redd,Beat the Street: The Very Best of Sharon Redd, 1981,392040,4,0.853,0.575,0,-8.077,1,0.0432,0.0729,0.0000471,0.0832,0.502,127.02,22
Love How You Feel,Sharon Redd,Love How You Feel, 1980,246800,4,0.816,0.591,7,-11.789,1,0.0642,0.00689,0.00172,0.0479,0.897,117.811,16
Love Insurance - Album Mix,Sharon Redd,Love How You Feel, 1982,403026,4,0.783,0.528,1,-12.462,1,0.0479,0.000577,0.0223,0.0621,0.966,122.043,8
Love Is Gonna Get Ya,Sharon Redd,Sharon Redd, 1981,298600,4,0.664,0.764,9,-12.496,0,0.035,0.061,0.000265,0.175,0.925,112.828,29
Never Give You Up,Sharon Redd,Redd Hott, 1981,453826,4,0.697,0.826,6,-10.733,1,0.0574,0.00116,0.0159,0.0371,0.915,113.036,36
You Got My Love,Sharon Redd,Sharon Redd, 1982,354160,4,0.778,0.803,2,-11.472,1,0.0407,0.152,0.0611,0.0757,0.963,106.852,22
Always Another Girl,Silver Convention,Save Me, 1976,231773,4,0.777,0.563,5,-14.256,1,0.0813,0.0109,0,0.0933,0.756,127.529,17
Fly Robin Fly,Silver Convention,Silver Convention - Fly Robin Fly, 1975,230920,4,0.826,0.406,0,-14.153,0,0.0317,0.00719,0.731,0.0725,0.939,100.278,48
Fly Robin Fly - Alternate Mix,Silver Convention,Save Me, 1975,228920,4,0.828,0.417,0,-14.136,0,0.0328,0.00709,0.762,0.0703,0.945,100.28,43
Get Up and Boogie - That's Right,Silver Convention,Silver Convention - Fly Robin Fly, 1976,172066,4,0.797,0.552,7,-14.86,1,0.0303,0.117,0.00132,0.0806,0.967,104.988,39
I Like It,Silver Convention,Save Me, 1976,317333,4,0.682,0.385,5,-15.869,1,0.0338,0.0759,0.0785,0.123,0.769,105.344,16
No No Joe,Silver Convention,Silver Convention, 1976,178200,4,0.859,0.44,5,-14.661,1,0.0379,0.0901,0.435,0.0675,0.956,104.714,19
San Francisco Hustle,Silver Convention,Silver Convention, 1975,288653,4,0.887,0.4,7,-16.178,0,0.0412,0.0206,0.172,0.213,0.897,104.952,32
Telegram,Silver Convention,Golden Girls, 1975,183373,4,0.756,0.583,9,-12.817,1,0.0941,0.134,0,0.0558,0.751,124.93,12
